	decel	diff	dist	group	group_len	k	sil_score
0	0.0	0.0	159.71246634905623	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	1	
1	0.0	-136.11542025855735	23.597046090498875	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	2	0.8757073027667963
2	114.59462797308689	-21.520792285470463	2.07625380502841	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	3	0.975184058754651
3	19.695500971058653	-1.8252913144118112	0.2509624906165987	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	4	0.9962765920151727
4	1.580193275196125	-0.24509803921568618	0.005864451400912505	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	5	0.9993999327404125
5	0.23923358781477366	-0.005864451400912505	1.189882853066183e-28	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	6	0.9989484752891693
6	0.005864451400912505	-1.0290474804454328e-28	1.6083537262075026e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	7	0.9989484752891693
7	1.0288192577470229e-28	-2.2822269840988745e-32	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	8	0.9989484752891693
8	2.2822269840988745e-32	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	9	0.9989484752891693
9	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	10	0.9989484752891693
10	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	11	0.9989484752891693
11	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	12	0.9989484752891693
12	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	13	0.9989484752891693
13	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	14	0.9989484752891693
14	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	15	0.9989484752891693
15	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	16	0.9989484752891693
16	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	17	0.9989484752891693
17	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	18	0.9989484752891693
18	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	19	0.9989484752891693
19	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	20	0.9989484752891693
20	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	21	0.9989484752891693
21	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	22	0.9989484752891693
22	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	23	0.9989484752891693
23	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	24	0.9989484752891693
24	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	25	0.9989484752891693
25	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	26	0.9989484752891693
26	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	27	0.9989484752891693
27	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	28	0.9989484752891693
28	0.0	0.0	1.6060714992234037e-29	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	29	0.9989484752891693
29	0.0	0.0	160.0922073678036	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	1	
30	0.0	-118.463768235312	41.62843913249161	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	2	0.8061289604599268
31	82.85072167918878	-35.613046556123216	6.015392576368393	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	3	0.9237666795001656
32	30.337257459755747	-5.275789096367468	0.7396034800009254	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	4	0.9762197869233229
33	4.670598767149361	-0.6051903292181069	0.1344131507828184	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	5	0.9863820907806846
34	0.5312777735811889	-0.07391255563691806	0.06050059514590034	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	6	0.9894806739197424
35	0.0447458889702514	-0.029166666666666667	0.03133392847923367	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	7	0.9914406206300743
36	0.007882995527738152	-0.021283671138928515	0.010050257340305156	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	8	0.9970393902243511
37	0.015234288422879126	-0.006049382716049389	0.004000874624255767	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	9	0.9968641361058792
38	0.0020493827160493854	-0.0040000000000000036	8.746242557631056e-07	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	10	0.9978583188822948
39	0.0039991253757442405	-8.746242557631056e-07	3.735095164820287e-28	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	11	0.996845420925636
40	8.746242557631056e-07	-5.9548384664633495e-30	3.6755467801556534e-28	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	12	0.996845420925636
41	5.9548384664633495e-30	0.0	3.6755467801556534e-28	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	13	0.996845420925636
42	-3.01739296247037e-28	-3.01739296247037e-28	6.581538176852833e-29	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	14	0.996845420925636
43	3.01739296247037e-28	0.0	6.581538176852833e-29	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	15	0.996845420925636
44	0.0	0.0	6.581538176852833e-29	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	16	0.996845420925636
45	0.0	0.0	6.581538176852833e-29	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	17	0.996845420925636
46	-6.347865096700329e-29	-6.347865096700329e-29	2.3367308015250333e-30	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	18	0.996845420925636
47	6.347865096700329e-29	0.0	2.3367308015250333e-30	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	19	0.996845420925636
48	0.0	0.0	2.3367308015250333e-30	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	20	0.996845420925636
49	-2.3026418415093792e-30	-2.3026418415093792e-30	3.4088960015654075e-32	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	21	0.996845420925636
50	2.3026418415093792e-30	0.0	3.4088960015654075e-32	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	22	0.996845420925636
51	0.0	0.0	3.4088960015654075e-32	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	23	0.996845420925636
52	0.0	0.0	3.4088960015654075e-32	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	24	0.996845420925636
53	0.0	0.0	3.4088960015654075e-32	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	25	0.996845420925636
54	0.0	0.0	3.4088960015654075e-32	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	26	0.996845420925636
55	0.0	0.0	3.4088960015654075e-32	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	27	0.996845420925636
56	0.0	0.0	3.4088960015654075e-32	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	28	0.996845420925636
57	0.0	0.0	3.4088960015654075e-32	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	29	0.996845420925636
